,ntoskrnl.exe,ntoskrnl.exe.1
0,122.0,142
1,122.0,177
2,122.0,177
3,122.0,30
4,34.0,30
5,152.0,177
6,122.0,30
7,172.0,30
8,172.0,152
9,152.0,142
10,122.0,164
11,177.0,152
12,122.0,179
13,122.0,180
14,122.0,179
15,172.0,180
16,122.0,101
17,34.0,179
18,152.0,165
19,122.0,179
20,152.0,34
21,122.0,127
22,122.0,152
23,122.0,165
24,177.0,177
25,177.0,127
26,177.0,179
27,122.0,152
28,122.0,179
29,122.0,152
30,122.0,165
31,122.0,177
32,34.0,165
33,172.0,177
34,152.0,30
35,122.0,30
36,152.0,30
37,122.0,30
38,177.0,177
39,122.0,142
40,122.0,177
41,122.0,142
42,122.0,164
43,122.0,180
44,122.0,180
45,34.0,30
46,172.0,30
47,152.0,30
48,122.0,30
49,152.0,177
50,122.0,30
51,177.0,30
52,122.0,30
53,122.0,30
54,122.0,177
55,122.0,30
56,122.0,30
57,34.0,30
58,172.0,30
59,152.0,177
60,152.0,142
61,122.0,177
62,152.0,142
63,122.0,164
64,177.0,180
65,122.0,180
66,122.0,30
67,122.0,30
68,122.0,30
69,122.0,30
70,34.0,177
71,172.0,177
72,152.0,30
73,122.0,30
74,122.0,177
75,152.0,30
76,122.0,30
77,122.0,30
78,177.0,30
79,122.0,30
80,122.0,30
81,122.0,177
82,122.0,179
83,122.0,30
84,122.0,30
85,122.0,30
86,34.0,177
87,172.0,30
88,152.0,115
89,122.0,35
90,152.0,35
91,122.0,169
92,177.0,68
93,122.0,35
94,122.0,27
95,122.0,30
96,122.0,30
97,34.0,30
98,172.0,30
99,172.0,177
100,152.0,30
101,152.0,30
102,122.0,30
103,152.0,30
104,122.0,177
105,177.0,30
106,122.0,30
107,122.0,30
108,122.0,30
109,122.0,177
110,34.0,142
111,172.0,177
112,152.0,142
113,122.0,164
114,152.0,180
115,152.0,180
116,122.0,30
117,177.0,30
118,122.0,30
119,122.0,30
120,122.0,177
121,122.0,30
122,34.0,30
123,172.0,30
124,152.0,30
125,122.0,177
126,152.0,142
127,122.0,177
128,177.0,142
129,122.0,164
130,122.0,180
131,122.0,180
132,122.0,30
133,34.0,30
134,172.0,30
135,152.0,30
136,122.0,177
137,152.0,30
138,122.0,30
139,177.0,30
140,122.0,30
141,127.0,177
142,55.0,165
143,55.0,127
144,122.0,177
145,122.0,165
146,122.0,165
147,122.0,177
148,122.0,30
149,34.0,30
150,172.0,30
151,152.0,30
152,122.0,177
153,152.0,30
154,122.0,30
155,177.0,30
156,165.0,30
157,122.0,177
158,122.0,30
159,122.0,30
160,122.0,30
161,34.0,30
162,137.0,177
163,172.0,30
164,152.0,30
165,182.0,30
166,122.0,30
167,152.0,177
168,122.0,30
169,177.0,30
170,160.0,30
171,152.0,30
172,122.0,177
173,179.0,142
174,177.0,177
175,179.0,142
176,177.0,164
177,152.0,180
178,182.0,180
179,65.0,30
180,127.0,30
181,166.0,30
182,55.0,30
183,165.0,177
184,122.0,30
185,122.0,30
186,122.0,30
187,34.0,30
188,162.0,177
189,162.0,142
190,35.0,177
191,55.0,142
192,35.0,164
193,115.0,180
194,169.0,180
195,162.0,137
196,35.0,30
197,162.0,30
198,55.0,30
199,27.0,30
200,68.0,137
201,152.0,30
202,122.0,30
203,172.0,30
204,152.0,30
205,122.0,137
206,122.0,137
207,137.0,137
208,182.0,30
209,177.0,30
210,165.0,30
211,177.0,30
212,122.0,177
213,122.0,137
214,179.0,30
215,122.0,30
216,34.0,30
217,143.0,30
218,143.0,30
219,152.0,9
220,122.0,30
221,160.0,137
222,152.0,30
223,143.0,30
224,122.0,30
225,122.0,30
226,177.0,137
227,177.0,30
228,160.0,30
229,127.0,30
230,143.0,30
231,160.0,30
232,143.0,30
233,162.0,137
234,162.0,30
235,160.0,30
236,55.0,30
237,143.0,30
238,143.0,30
239,137.0,30
240,143.0,30
241,182.0,30
242,142.0,177
243,137.0,137
244,177.0,30
245,142.0,30
246,162.0,30
247,177.0,30
248,162.0,177
249,55.0,137
250,179.0,30
251,179.0,30
252,165.0,30
253,143.0,30
254,122.0,137
255,122.0,30
256,177.0,30
257,122.0,30
258,34.0,30
259,152.0,137
260,122.0,30
261,152.0,30
262,122.0,30
263,122.0,30
264,177.0,137
265,137.0,30
266,177.0,30
267,179.0,30
268,182.0,30
269,142.0,30
270,177.0,30
271,177.0,30
272,152.0,30
273,127.0,177
274,162.0,137
275,162.0,30
276,162.0,30
277,55.0,30
278,182.0,30
279,179.0,137
280,162.0,30
281,162.0,30
282,55.0,30
283,165.0,30
284,122.0,137
285,122.0,30
286,122.0,30
287,34.0,30
288,152.0,30
289,122.0,137
290,152.0,30
291,122.0,30
292,122.0,30
293,177.0,30
294,177.0,137
295,165.0,30
296,122.0,30
297,127.0,30
298,162.0,30
299,162.0,30
300,55.0,30
301,137.0,30
302,162.0,177
303,162.0,30
304,55.0,179
305,122.0,137
306,122.0,30
307,34.0,30
308,152.0,30
309,122.0,30
310,142.0,137
311,152.0,30
312,164.0,30
313,122.0,30
314,122.0,30
315,177.0,137
316,137.0,30
317,165.0,30
318,122.0,30
319,180.0,30
320,122.0,137
321,143.0,30
322,122.0,30
323,160.0,30
324,143.0,30
325,34.0,137
326,143.0,30
327,152.0,30
328,143.0,30
329,122.0,30
330,152.0,30
331,122.0,30
332,177.0,30
333,177.0,30
334,182.0,177
335,127.0,137
336,177.0,30
337,122.0,30
338,177.0,30
339,162.0,30
340,162.0,137
341,162.0,30
342,55.0,30
343,152.0,30
344,182.0,30
345,179.0,137
346,137.0,30
347,177.0,30
348,162.0,30
349,162.0,30
350,55.0,177
351,165.0,137
352,122.0,30
353,122.0,30
354,122.0,30
355,34.0,30
356,152.0,30
357,122.0,30
358,152.0,177
359,122.0,30
360,177.0,30
361,165.0,137
362,122.0,30
363,122.0,30
364,137.0,30
365,182.0,30
366,122.0,30
367,177.0,30
368,55.0,30
369,127.0,137
370,162.0,122
371,162.0,30
372,55.0,30
373,162.0,137
374,162.0,30
375,162.0,30
376,55.0,30
377,122.0,30
378,122.0,122
379,41.0,122
380,34.0,30
381,152.0,30
382,122.0,30
383,155.0,30
384,172.0,30
385,182.0,30
386,152.0,30
387,122.0,68
388,122.0,9
389,177.0,30
390,177.0,30
391,165.0,122
392,122.0,30
393,122.0,122
394,122.0,149
395,34.0,146
396,152.0,147
397,122.0,145
398,184.0,177
399,177.0,177
400,152.0,30
401,122.0,30
402,122.0,122
403,137.0,30
404,127.0,122
405,177.0,177
406,155.0,30
407,35.0,30
408,162.0,122
409,41.0,137
410,162.0,30
411,55.0,122
412,155.0,30
413,182.0,30
414,152.0,30
415,162.0,30
416,162.0,30
417,55.0,30
418,155.0,55
419,35.0,184
420,177.0,30
421,165.0,177
422,41.0,30
423,122.0,30
424,122.0,122
425,122.0,30
426,155.0,122
427,34.0,177
428,182.0,30
429,152.0,30
430,122.0,122
431,152.0,30
432,122.0,122
433,177.0,177
434,179.0,137
435,179.0,30
436,155.0,30
437,152.0,30
438,35.0,30
439,182.0,30
440,137.0,30
441,182.0,30
442,177.0,55
443,142.0,184
444,177.0,30
445,122.0,177
446,182.0,30
447,177.0,30
448,41.0,122
449,137.0,30
450,177.0,122
451,155.0,177
452,182.0,137
453,164.0,30
454,180.0,30
455,55.0,30
456,180.0,30
457,127.0,30
458,155.0,30
459,35.0,30
460,41.0,55
461,162.0,184
462,162.0,30
463,155.0,177
464,55.0,137
465,182.0,30
466,182.0,30
467,152.0,30
468,162.0,30
469,162.0,30
470,55.0,30
471,179.0,30
472,155.0,55
473,165.0,184
474,35.0,30
475,122.0,177
476,122.0,30
477,41.0,30
478,122.0,30
479,34.0,122
480,155.0,30
481,152.0,122
482,182.0,177
483,122.0,30
484,152.0,30
485,122.0,122
486,122.0,30
487,177.0,122
488,137.0,177
489,182.0,137
490,152.0,30
491,177.0,30
492,182.0,30
493,137.0,30
494,177.0,30
495,179.0,142
496,165.0,30
497,122.0,177
498,155.0,30
499,127.0,142
500,35.0,122
501,65.0,142
502,162.0,164
503,162.0,122
504,55.0,41
505,152.0,30
506,179.0,59
507,179.0,35
508,162.0,41
509,162.0,59
510,55.0,30
511,122.0,30
512,172.0,122
513,152.0,68
514,179.0,35
515,122.0,180
516,34.0,9
517,152.0,180
518,122.0,180
519,172.0,30
520,152.0,122
521,122.0,30
522,122.0,122
523,177.0,30
524,177.0,122
525,165.0,177
526,122.0,30
527,127.0,30
528,177.0,122
529,162.0,30
530,162.0,122
531,55.0,177
532,177.0,137
533,179.0,30
534,162.0,30
535,162.0,30
536,55.0,30
537,122.0,30
538,172.0,30
539,122.0,122
540,34.0,30
541,152.0,30
542,122.0,177
543,152.0,137
544,122.0,30
545,122.0,30
546,177.0,30
547,137.0,30
548,165.0,9
549,182.0,68
550,122.0,30
551,122.0,30
552,177.0,30
553,122.0,30
554,34.0,122
555,152.0,137
556,122.0,30
557,152.0,122
558,122.0,30
559,122.0,30
560,177.0,30
561,177.0,55
562,152.0,184
563,182.0,30
564,179.0,177
565,137.0,30
566,127.0,30
567,65.0,9
568,162.0,68
569,162.0,30
570,55.0,122
571,177.0,30
572,127.0,122
573,114.0,177
574,41.0,30
575,114.0,30
576,101.0,30
577,155.0,9
578,182.0,68
579,162.0,30
580,162.0,122
581,55.0,30
582,165.0,122
583,122.0,177
584,122.0,30
585,122.0,30
586,34.0,9
587,143.0,137
588,152.0,68
589,122.0,30
590,127.0,30
591,155.0,30
592,35.0,30
593,65.0,30
594,162.0,122
595,162.0,30
596,55.0,122
597,179.0,177
598,179.0,30
599,179.0,30
600,101.0,9
601,152.0,68
602,162.0,30
603,162.0,122
604,55.0,30
605,172.0,122
606,177.0,177
607,137.0,30
608,152.0,30
609,122.0,9
610,177.0,68
611,122.0,30
612,165.0,122
613,137.0,30
614,122.0,122
615,122.0,177
616,182.0,137
617,122.0,30
618,177.0,30
619,34.0,30
620,152.0,30
621,122.0,55
622,152.0,184
623,122.0,30
624,177.0,177
